"Company","URL","Valuation ($B)","Date Joined","Country","City","Industry","Selected Investors"
"ByteDance","https://www.cbinsights.com/company/bytedance","$225","4/7/2017","China","Beijing","Media & Entertainment","Sequoia Capital China, SIG Asia Investments, Sina Weibo, SoftBank Group"
"SpaceX","https://www.cbinsights.com/company/space-exploration-technologies","$150","12/1/2012","United States","Hawthorne","Industrials","Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
"OpenAI","https://www.cbinsights.com/company/openai","$80","7/22/2019","United States","San Francisco","Enterprise Tech","Khosla Ventures"
"SHEIN","https://www.cbinsights.com/company/shein","$66","7/3/2018","Singapore","","Consumer & Retail","Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
"Stripe","https://www.cbinsights.com/company/stripe","$65","1/23/2014","United States","San Francisco","Financial Services","Khosla Ventures, LowercaseCapital, capitalG"
"Databricks","https://www.cbinsights.com/company/databricks","$43","2/5/2019","United States","San Francisco","Enterprise Tech","Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
"Canva","https://www.cbinsights.com/company/canva","$25.4","1/8/2018","Australia","Surry Hills","Enterprise Tech","Sequoia Capital China, Blackbird Ventures, Matrix Partners"
"Revolut","https://www.cbinsights.com/company/revolut","$33","4/26/2018","United Kingdom","London","Financial Services","Index Ventures, DST Global, Ribbit Capital"
"Epic Games","https://www.cbinsights.com/company/epic-games","$22.5","10/26/2018","United States","Cary","Media & Entertainment","Tencent Holdings, KKR, Smash Ventures"
"Fanatics","https://www.cbinsights.com/company/fanatics","$31","6/6/2012","United States","Jacksonville","Consumer & Retail","SoftBank Group, Andreessen Horowitz, Temasek Holdings"
"Chime","https://www.cbinsights.com/company/chimecard","$25","3/5/2019","United States","San Francisco","Financial Services","Forerunner Ventures, Crosslink Capital, Homebrew"
"Xiaohongshu","https://www.cbinsights.com/company/xiaohongshu","$20","3/31/2016","China","Shanghai","Media & Entertainment","GGV Capital, ZhenFund, Tencent"
"CoreWeave","https://www.cbinsights.com/company/coreweave","$19","4/20/2023","United States","Roseland","Enterprise Tech","Magnetar Capital"
"Miro","https://www.cbinsights.com/company/realtimeboard","$17.50","1/5/2022","United States","San Francisco","Enterprise Tech","Accel, AltaIR Capital, Technology Crossover Ventures"
"Anthropic","https://www.cbinsights.com/company/anthropic","$16.05","2/3/2023","United States","San Francisco","Enterprise Tech","Google"
"Yuanfudao","https://www.cbinsights.com/company/yuantikucom","$15.50","5/31/2017","China","Beijing","Consumer & Retail","Tencent Holdings, Warbug Pincus, IDG Capital"
"DJI Innovations","https://www.cbinsights.com/company/dji","$15","1/23/2015","China","Shenzhen","Industrials","Accel Partners, Sequoia Capital"
"Discord","https://www.cbinsights.com/company/hammer-chisel","$15","4/20/2018","United States","San Francisco","Media & Entertainment","Benchmark, Greylock Partners, Tencent Holdings"
"Gopuff","https://www.cbinsights.com/company/gopuff","$15","10/8/2020","United States","Philadelphia","Consumer & Retail","Accel, SoftBank Group, Anthos Capital"
"Yuanqi Senlin","https://www.cbinsights.com/company/yuanqi-senlin","$15","3/1/2020","China","Beijing","Consumer & Retail","Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
"Ripple","https://www.cbinsights.com/company/ripple-labs","$15","12/20/2019","United States","San Francisco","Financial Services","IDG Capital, Venture51, Lightspeed Venture Partners"
"Plaid","https://www.cbinsights.com/company/plaid-technologies","$13.50","12/11/2018","United States","San Francisco","Financial Services","New Enterprise Associates, Spar Capital, Index Ventures"
"Rippling","https://www.cbinsights.com/company/rippling","$13.5","8/4/2020","United States","San Francisco","Enterprise Tech","Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
